   1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 
12553    12 24 29 228 
12409    191 220 276 
12408    49 148 160 270 
12281    157 215 
12272    99 300 
12095    191 276 323 
12036    55 244 349 
11794    225 260 282 
11785    257 351 
11663    319 346 
11644 12408    49 148 
11540    76 96 131 170 296 
11400    172 194 245 
11289    7 155 
11206    137 263 
11176    192 218 255 
11173    36 109 137 214 
11095 11176    192 218 
10975    258 263 
10965    50 89 
10919    207 245 
10917    104 210 260 
10916    53 55 95 154 166 
10895    77 317 336 
10852 12293    294 310 
10597 11404    49 348 
10462    22 33 242 
10446    55 107 260 
10415    41 155 171 306 
10399    206 209 260 
10367    10 324 341 
10353    82 249 290 
10351    18 58 84 176 281 295 
10340    11 55 98 161 205 
10190 11916    137 258 
10186    234 248 
10162    114 263 
10143    208 346 
10137    7 288 
10135    80 263 
10130 12393    102 118 245 
9987    116 196 307 
9975 12553    12 29 228 
9968 11308    21 182 
9826    119 251 304 
9741    5 163 
9474 12517    210 252 260 306 
9436    104 126 
9340 12372    218 339 
9140    55 154 251 
9017    46 118 
8971    35 202 318 
8842    119 260 304 
8842 9826    119 304 
8781    11 251 259 327 
8781 11763    11 251 259 
8776    104 260 306 
8757 10088    134 197 272 322 
8689    7 188 215 251 
8586    59 142 163 219 
8540 8586    59 219 
8500 10841    50 100 107 251 
8376    67 210 
8253    75 191 276 
8250    198 310 
8131    94 103 158 
8027    4 215 
8006    159 255 
7969    31 
7895 8325 12137    80 190 
