   1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 
12436    280 298 
11672    156 171 236 
11667    82 147 
11503    12 19 133 201 282 322 
11503 12132 12211    12 19 322 
11380    155 242 309 
11031    26 229 237 298 
10988    19 182 201 
10351 11709    113 261 264 
10120    78 156 236 282 
10112    135 242 
10106    131 273 
10096    80 282 
10049    32 91 
10043    189 289 
10021    170 280 
9931    73 84 273 
9889    70 80 
9797    19 76 117 201 
9720 11863    121 215 
9669    39 152 
9506    142 273 
9126    67 91 94 
9102    232 280 
9044 11276    80 147 
9025 9080    131 245 
8546    84 195 329 
8546 11027    84 195 
8234    187 196 264 
8128    76 117 127 
8049 10429    82 252 315 
7749    13 130 
7295 7331    102 257 278 
7125    281 316 
7112    182 313 
7105    82 131 252 
7097    79 313 
7082 7127    252 282 
7081    9 11 19 25 194 
7049    46 71 73 281 
7049 9938    46 73 281 
6919 8680 9055 10149    204 252 
6899    84 213 
6897 11966    15 84 
6847    39 107 269 
6725 6974    10 99 
6708 7120 9194    47 93 
6703    65 252 315 
6700 6706 6732 6912 10162    130 255 
6603 11411    233 251 
6569    27 52 97 159 
6490 11507    107 242 259 
6475 7031    84 316 
6065    202 266 
6018    149 239 
6012    103 161 
6011    41 269 
6010    239 242 259 304 
6010 9695    239 242 
5984    211 244 327 
5705    19 194 261 
5689    105 194 244 
5676    292 326 
5519    21 151 246 290 
5519 12301    151 246 290 
5297 11320 11483    5 327 
5200 8226 9557 12309    21 107 262 291 
5198 5200 8226 9557 12309    21 262 291 
5160 10717    39 281 
5156    103 285 
5145    211 244 264 
5128 6490 11507    107 259 
5125    41 155 242 
5107    181 269 
5093    107 242 269 
5093 6490 11507    107 242 
5062 10127    103 155 242 
5020    39 238 282 
5015 6474    107 149 269 
5015 5048 6474    107 149 
5010    39 280 
4985    162 233 246 
4982 8985 8986 10120    156 236 282 
4966    151 233 280 
4964    49 281 282 
4805    78 84 
4754    58 290 
4750 4982 5046 5913 6054 6580 6586 7326 7817 8985 8986 8991 8992 10120 11084 11300 11672    156 236 
4700    228 247 249 293 317 330 
