   1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 
5205    54 64 87 
5203    1 6 8 12 
5202    1 15 24 
5193    4 57 120 135 
5191    6 16 23 
5189    1 10 24 34 35 
5189 5202    1 24 
5188    22 25 32 35 
5186    21 23 27 30 35 
5182    12 35 36 
5179    8 9 25 
5175    6 13 23 26 
5174    1 4 6 20 27 30 
5171    6 14 30 35 36 
5168    10 16 30 35 
5165    6 7 14 23 27 30 35 
5165 5171    6 14 30 35 
5164    6 8 20 
5164 5203    6 8 
5163    12 24 35 
5163 5182    12 35 
5159    45 98 112 148 
5158    2 4 10 23 27 28 30 
5154    6 10 13 30 35 
5153    12 98 112 
5152    6 10 14 23 27 30 
5152 5165    6 14 23 27 30 
5152 5165 5171    6 14 30 
5149    13 23 27 30 34 35 
5149 5175    13 23 
5149 5165 5186    23 27 30 35 
5149 5154    13 30 35 
5148    6 16 29 30 
5147    1 16 19 
5145    58 84 98 128 
5144    40 64 98 109 
5139    6 11 14 16 20 
5137    19 46 
5136    23 32 
5135    4 6 7 19 30 
5135 5150    6 7 19 30 
5132    10 13 19 28 
5131    86 87 107 
5129    9 10 11 16 19 
5129 5132    10 19 
5127    71 72 149 157 
5125    3 95 98 109 
5123 5165    6 7 23 30 35 
5123 5135 5150 5165    6 7 30 
5122    4 6 16 27 29 
5122 5148    6 16 29 
5117    21 128 
5116 5128    4 6 10 23 27 30 
5116 5128 5158    4 10 23 27 30 
5116 5128 5152    6 10 23 27 30 
5116 5128 5152 5165    6 23 27 30 
5116 5128 5152 5158    10 23 27 30 
5116 5128 5149 5152 5158 5165 5186    23 27 30 
5115    1 6 12 20 23 34 
5115 5203    1 6 12 
5115 5189    1 34 
5115 5130    1 6 20 23 
5115 5130 5174    1 6 20 
5114    16 23 29 36 
5113    72 83 84 96 126 
5112    16 46 
