   1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 
5639    54 64 87 
5636    1 6 8 12 
5635    1 15 24 
5625    4 57 120 135 
5623    6 16 23 
5620    1 10 24 34 35 
5620 5635    1 24 
5619    22 25 32 35 
5617    21 23 27 30 35 
5611    12 35 36 
5607    8 9 25 
5603    6 13 23 26 
5602    1 4 6 20 27 30 
5595    6 14 30 35 36 
5590    10 16 30 35 
5587    6 7 14 23 27 30 35 
5587 5595    6 14 30 35 
5585    6 8 20 
5585 5636    6 8 
5584    12 24 35 
5584 5611    12 35 
5580    45 98 112 148 
5579    2 4 10 23 27 28 30 
5574    6 10 13 30 35 
5573    12 98 112 
5572    6 10 14 23 27 30 
5572 5587    6 14 23 27 30 
5572 5587 5595    6 14 30 
5569    13 23 27 30 34 35 
5569 5603    13 23 
5569 5587 5617    23 27 30 35 
5569 5574    13 30 35 
5568    6 16 29 30 
5567    1 16 19 
5565    58 84 98 128 
5564    40 64 98 109 
5555    6 11 14 16 20 
5553    19 46 
5552    23 32 
5550    4 6 7 19 30 
5550 5570    6 7 19 30 
5547    10 13 19 28 
5546    86 87 107 
5544    9 10 11 16 19 
5544 5547    10 19 
5542    71 72 149 157 
5540    3 95 98 109 
5538 5587    6 7 23 30 35 
5538 5550 5570 5587    6 7 30 
5537    4 6 16 27 29 
5537 5568    6 16 29 
5532    21 128 
5531 5543    4 6 10 23 27 30 
5531 5543 5579    4 10 23 27 30 
5531 5543 5572    6 10 23 27 30 
5531 5543 5572 5587    6 23 27 30 
5531 5543 5572 5579    10 23 27 30 
5531 5543 5569 5572 5579 5587 5617    23 27 30 
5530    1 6 12 20 23 34 
5530 5636    1 6 12 
5530 5620    1 34 
5530 5545    1 6 20 23 
5530 5545 5602    1 6 20 
5529    16 23 29 36 
5528    72 83 84 96 126 
5527    16 46 
5525 5550 5570    6 7 19 
5525 5538 5550 5570 5587    6 7 
5524    10 16 23 33 34 35 36 
5524 5590    10 16 35 
5524 5529    16 23 36 
5522    10 24 25 26 31 35 36 
5521    16 109 135 
5516    72 83 107 111 
5470    82 91 
5468    106 124 161 
5466    5 12 
5464    10 22 29 
5458    59 64 98 105 
5457    71 87 96 107 
5456 5564    40 64 98 
5450    11 12 16 23 25 
5450 5544 5555    11 16 
5450 5530    12 23 
5449    6 9 20 
5439    6 10 20 23 30 35 
5439 5574    6 10 30 35 
5439 5574 5590    10 30 35 
5439 5538 5587    6 23 30 35 
5439 5538 5569 5587 5617    23 30 35 
5439 5531 5543 5572    6 10 23 30 
5439 5531 5543 5572 5579    10 23 30 
5439 5531 5538 5543 5572 5587    6 23 30 
5439 5530 5545    6 20 23 
5422    2 7 14 16 22 23 27 
5422 5579    2 23 27 
5422 5555    14 16 
5419    85 96 111 119 
5418    10 16 24 25 28 36 
5418 5524    10 16 36 
5418 5522    10 24 25 36 
5418 5450    16 25 
5413    96 115 157 
5412 5550    4 6 19 30 
5412 5550 5570    6 19 30 
5411    4 16 135 
5411 5625    4 135 
5411 5521    16 135 
5410    71 86 96 
5407    57 111 
5405    16 96 137 
5392    13 20 28 33 
5391    27 29 30 
5391 5568    29 30 
5390    9 16 23 34 
5390 5544    9 16 
5390 5524    16 23 34 
5390 5422 5450 5524 5529 5623    16 23 
5376    2 4 10 16 28 29 
5376 5579    2 4 10 28 
5376 5537    4 16 29 
5376 5529 5537 5568    16 29 
5376 5422    2 16 
5376 5418    10 16 28 
5376 5418 5547 5579    10 28 
5375    4 6 16 24 
5374    6 16 27 30 35 36 
5374 5595    6 30 35 36 
5374 5590    16 30 35 
5374 5587    6 27 30 35 
5374 5569 5587 5617    27 30 35 
5374 5524    16 35 36 
5374 5524 5590    16 35 
5374 5439 5538 5574 5587 5595    6 30 35 
5374 5439 5538 5569 5574 5587 5590 5595 5617    30 35 
5374 5418 5524 5529    16 36 
5373    2 4 6 27 30 
5373 5579    2 4 27 30 
5373 5422 5579    2 27 
5371    4 6 10 16 27 30 
5371 5590    10 16 30 
5371 5537    4 6 16 27 
5371 5376    4 10 16 
5371 5376 5418 5524 5544 5590    10 16 
5371 5374    6 16 27 30 
5371 5374 5568    6 16 30 
5371 5374 5537    6 16 27 
5371 5374 5422 5537    16 27 
5365    45 59 98 109 149 
5362    4 16 33 
5362 5524    16 33 
5359    9 11 21 25 26 
5358    2 6 14 22 23 31 
5358 5572 5587    6 14 23 
5358 5555 5572 5587 5595    6 14 
5358 5439 5530 5531 5538 5543 5545 5572 5587 5603 5623    6 23 
5358 5422    2 14 22 23 
5358 5422 5579    2 23 
5358 5373    2 6 
5353    98 108 149 
5353 5365    98 149 
5348    4 6 13 24 
5335    72 101 
5325    72 83 86 96 107 
5325 5546    86 107 
5320    82 120 
5315    73 119 
5309    83 94 96 
5305    47 68 161 
5297    4 6 16 19 
5297 5544 5567 5627    16 19 
5297 5412 5550    4 6 19 
5297 5371 5375 5537    4 6 16 
5297 5371 5374 5375 5537 5555 5568 5623    6 16 
5297 5362 5371 5375 5376 5411 5537    4 16 
5294    59 83 87 96 
5293    40 109 116 
5293 5564    40 109 
5292 5353    98 108 
5288    79 87 111 
5287    83 85 87 
5286 5355    3 19 
5280 5367    19 54 84 
5279    80 87 146 
5276    15 59 72 83 96 107 115 126 149 
5276 5528    72 83 96 126 
5276 5325 5541    72 83 96 107 
5276 5325 5528 5541    72 83 96 
5276 5325 5357 5541    83 96 107 
5276 5324    96 107 115 
5273    4 6 24 33 
5273 5362    4 33 
5273 5348 5375    4 6 24 
5273 5348 5375 5622    4 24 
5271    79 111 162 
5271 5288    79 111 
5270    59 83 96 121 
5270 5276 5294    59 83 96 
